Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8166666666666667,0.0,0.0,0.0
Naive Bayes,0.85,1.0,0.18181818181818182,0.3076923076923077
Random Forest,0.9,1.0,0.45454545454545453,0.625
SVM,0.9,0.8571428571428571,0.5454545454545454,0.6666666666666666
